CAS,CAS,Compound Name by Eybna,Compound Name,PubChem_CID,pubchemcid ,Eybna molecules,SMILES,Canonical_SMILES,Isomeric_SMILES,Canonical SMILES,Isomeric SMILES,Physical Description,Description,molecular type,Molecule family,Found in Cannabis,FEMA number,FEMA_No,Botanical Source,molecular mass (g/mol),Molecular Weight [g/mol],Empirical_Formula,molecular formula,Boiling Point [°C] @760 mmHg,boiling point (celsius),Melting Point [°C],Melting point (celcius),Density [g/cm3] @25 °C,density (g/cm3),Flash Point [°C],flash point (celsius),Vapor Pressure [mmHg] @25 °C,vapour pressure (kPa),Water Solubility [mg/L] @25 °C (water),Solubility General,Water Solubility (mg/l @ 20C),Physical State ,Physical State,Physical Description,Oral LD50 rat (mg/kg),Oral LD50 mouse (mg/kg),Dermal LD50 rabbit (mg/kg),ODT(ppb),aroma description,Aroma Color,Intensity (1-10),Flavor,Flavor,Odor,Odor,Odor Threshold,Long Description,Family Type
124-19-6,124-19-6,Nonanal,Nonanal,31289,31289,1,CCCCCCCCC=O,CCCCCCCCC=O,,CCCCCCCCC=O,,"Nonanal is a clear brown liquid characterized by a rose-orange odor. Insoluble in water. Found in at least 20 essential oils, including rose and citrus oils and several species of pine oil.; Liquid; Colorless liquid with a floral odor; Insoluble in water (96 mg/L at 25 deg C); [HSDB] Brown liquid; [CAMEO] Colorless liquid; [MSDSonline]; colourless to yellow liquid/fruity odour","Waxy, aldehydic, citrus, with a fresh slightly green lemon peel like nuance, and a cucumber fattiness",aldehyde,Oxygenated Aliphatics,1,2782,2782,sunflower oil,142.241,142.24,C9H18O,C9H18O,192.22,92,62.78,62.778,,0.819,83.33,63,-1,0.532,96,"Insoluble (<1mg/ml) (NTP, 1992); In water, 96 mg/L at 25 °C; Soluble in ethyl ether, chloroform; Soluble in three volumes 70% alcohol, in mineral oil; insoluble in glycerol; soluble in alcohol, most fixed oils, propylene glycol; insoluble in glycerol; 1 ml in 3 ml of 70% alcohol (in ethanol)",131.6,liquid ,liquid,"Nonanal is a clear brown liquid characterized by a rose-orange odor. Insoluble in water. Found in at least 20 essential oils, including rose and citrus oils and several species of pine oil.; Liquid; Colorless liquid with a floral odor; Insoluble in water (96 mg/L at 25 deg C); [HSDB] Brown liquid; [CAMEO] Colorless liquid; [MSDSonline]; colourless to yellow liquid/fruity odour",5000,,5000,,,#c0a935,,,Bitter lemon,Super bitter lemon,"Orange-rose odor; Floral, waxy, green",,"Citrus, candy, bitter, cleaning product, lemon scent",Citrus
124-13-0,124-13-0,Octanal (Octyl Aldehyde),Octanal (Octyl Aldehyde),454,454,1,CCCCCCCC=O,CCCCCCCC=O,,[H]C(=O)CCCCCCC,,N-octylaldehyde is a colorless liquids with a strong fruity odor. Less dense than water and insoluble in water. Flash points 125 °F. Used in making perfumes and flavorings.; Liquid; Colorless liquid with a fruity odor; [Hawley]; colourless to light yellow liquid/fatty-orange odour,"Aldehydic, waxy, citrus orange with a green peely nuance",aldehyde,Oxygenated Aliphatics,1,2797,2797,Coconut oil,128.2,128.21,C8H16O,C8H16O,,171,-23,12,,0.81,51.67,51.67,0.6,2.068,2,"In water, 5.6X10+2 mg/L at 25 °C; In water, <0.01 wt% at 20 °C; Slightly soluble in water; Miscible with alcohol, ether; For more Solubility (Complete) data for Octylaldehyde (7 total), please visit the HSDB record page.; 0.56 mg/mL; soluble in alcohol, most fixed oils, propylene glycol; insoluble in glycerol; 1ml in 2ml of 70% alcohol (in ethanol)",394.3,liquid ,liquid,N-octylaldehyde is a colorless liquids with a strong fruity odor. Less dense than water and insoluble in water. Flash points 125 °F. Used in making perfumes and flavorings.; Liquid; Colorless liquid with a fruity odor; [Hawley]; colourless to light yellow liquid/fatty-orange odour,5630,,6350,,,#f9ad29,,"Taste characteristics at 25 ppm: aldehyde, green with a peely citrus orange note",,Grapefruit Peel,"Strong, fruity odor; Fatty, citrus, honey odor on dilution; Pungent odor; citrus-like on dilution",,"Orange peel, sharp, a bit floral, bitter orange candy, moldy, medicine","Citrus, Candy"
140-26-1,140-26-1,Phenethyl Isovalerate,Phenethyl Isovalerate,8792,8792,1,CC(C)CC(=O)OCCC1=CC=CC=C1,CC(C)CC(=O)OCCc1ccccc1,,CC(C)CC(=O)OCCc1ccccc1,,Colourless to slighty yellow liquid; fruity or rose-like odour,"Sweet, fruity, ripe pineapple-like with tutti frutti, apple and blueberry nuances",ester,Aromatic Ring Compounds,0,2871,2871,,206.28,206.28,C13H18O2,C13H18O2,,264,,N/A,,0.976,,100,,0.003,,Insoluble in water; soluble in oils; 1 mL in 3 ml 80% ethanol (in ethanol),16.47,liquid ,liquid,Colourless to slighty yellow liquid; fruity or rose-like odour,,5000,5000,,,,,,,,,,,
122-70-3,122-70-3,Phenylethyl Propionate,Phenylethyl Propionate,31225,31225,1,CCC(=O)OCCC1=CC=CC=C1,CCC(=O)OCCc1ccccc1,,CCC(=O)OCCc1ccccc1,,Colorless liquid with an odor of flowers or fruit; [HSDB]; Solid; Colourless or yellowish slighty oily liquid; very sweet odour reminiscent of red rose with a fruity undertone,floral red rose fruity honey balsam storax,ester,Aromatic Ring Compounds,0,2867,2867,guava,178.23,178.23,C11H14O2,C11H14O2,,244,25,25,,1.007,,212,,0.02,,Miscible with alcohols and ether; Insoluble in water; soluble in oils; Miscible at room temperature (in ethanol),136,liquid ,liquid,Colorless liquid with an odor of flowers or fruit; [HSDB]; Solid; Colourless or yellowish slighty oily liquid; very sweet odour reminiscent of red rose with a fruity undertone,4000,,,,,#c7f9b6,,,Cherry chapstick,Sweet pineapple,Flower fruit odor,,"Tropical, fresh pineapple, fruity, fruit punch, sweet, watermelon","Tropical, Sweet, Fruity"
5471-51-2,5471-51-2,"Rheosmin (Raspberry ketone, 4-(4-Hydroxyphenyl)-2-butanone)","Rheosmin (Raspberry ketone, 4-(4-Hydroxyphenyl)-2-butanone)",21648,21648,1,CC(=O)CCC1=CC=C(C=C1)O,CC(=O)CCc1ccc(O)cc1,,CC(=O)CCc1ccc(O)cc1,,"Pellets or Large Crystals; Liquid; Dry Powder; Liquid, Other Solid; Solid; White needle like crystals or granule crystalline material with sweet fruity, warm odour resembling raspberry preserve","Berry, sweet, woody and raspberry with a ripe, jammy, seedy character",ketone,Oxygenated Aliphatics,0,2588,2588,red raspberry,164.2,164.2,C10H12O2,C10H12O2,,200,82.5,82,,1.0326,,200,,9.55E-05,,1 g in 1 mL 98% alcohol; Soluble in oils; moderately soluble in ethanol; very slightly; insoluble in water; soluble in oils; moderately soluble (in ethanol),,solid,liquid,"Pellets or Large Crystals; Liquid; Dry Powder; Liquid, Other Solid; Solid; White needle like crystals or granule crystalline material with sweet fruity, warm odour resembling raspberry preserve",,,,,,,,"Taste characteristics at 20 ppm: sweet, berry, raspberry, woody and jammy with a ripe, powdery nuance",,,"Sweet fruity, warm odor resembling raspberry preserve",,,
8030-89-5,8030-89-5,Rum Ether Natural,Rum Ether Natural,91001317,91001317,1,CC.OO,CC.OO,,CC.OO,,,"Nice woody, acidic, burnt, meaty and whisky notes",ester,Oxygenated Aliphatics,0,2996,2996,sugarcane,,64.08,C2H8O2,,,65,,,,0.825,,30,,,,,,liquid ,,,14700,,,,,,,RUM-LIKE,,,RUM-LIKE,,,
3658-77-3,3658-77-3,Strawberry Furanone,Strawberry Furanone,19309,19309,1,CC1C(=O)C(=C(O1)C)O,CC1=C(O)C(=O)C(C)O1,,CC1C(=O)C(=C(O1)C)O,,Liquid; Pellets or Large Crystals; Solid; Colourless to white solid; Fruity caramel or burnt pineapple aroma,"Sweet, slightly burnt brown caramellic, cotton candy with a savory nuance
Mosciano",ketone,Oxygenated Aliphatics,0,3174,3174,"citrus peels and leaves, buckwheat, rhubarb",128.12,128.13,C6H8O3,C6H8O3,,215.53,-79,78,,1.049,,200,0.008,0.0042663164,,"In water, 0.315 g/mL at 25 °C; Soluble in oil and ethanol; Soluble in oil; Insoluble in water; Soluble (in ethanol)",0.000185,solid,liquid,Liquid; Pellets or Large Crystals; Solid; Colourless to white solid; Fruity caramel or burnt pineapple aroma,1608,2000,,,,,,Caramel flavor; Taste description at 0.10-1.00 ppm: Sweet caramellic cooked meaty and fruity nuances,,,"Relatively weak, nonspecific odor; dilute solutions develop a pineapple, strawberry-like odor; Odor description at 0.01%: Sweet, slightly burnt brown caramellic, cotton candy with a savory nuance",,,
881-68-5,881-68-5,Vanillin Acetate,Vanillin Acetate,61229,61229,1,CC(=O)OC1=C(C=C(C=C1)C=O)OC,COc1cc(C=O)ccc1OC(C)=O,,COc1cc(C=O)ccc1OC(C)=O,,"Solid; colourless needles of plates with a mild creamy, balsamic, vanilla odour","weet, creamy, vanilla-like with a powdery heliotropine nuance",aldehyde,Oxygenated Aliphatics,0,3108,3108,,194.18,194.18,C10H10O4,C10H10O4,,287,79,77,,1.193,,256,,0.00026664477,,"slightly; slightly soluble in water; soluble in organic solvents, oils; soluble (in ethanol)",3057,solid,solid,"Solid; colourless needles of plates with a mild creamy, balsamic, vanilla odour",,,,,,,,,,,,,,
89-78-1,1490-04-06,Menthol,Menthol,1254,1254,1,CC1CCC(C(C1)O)C(C)C,CC1CCC(C(C)C)C(O)C1,,CC1CCC(C(C1)O)C(C)C  , C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C  ,"D,l-menthol is a white crystalline solid with a peppermint odor and taste. (NTP, 1992); Liquid; Pellets or Large Crystals; Other Solid; Liquid; White solid with a cooling odor; [Hawley] Colorless solid with a peppermint odor; [HSDB] Colorless solid with a sweet odor; [MSDSonline]; colourless, hexagonal crystals, usually needle-like; fused masses or crystalline powder with a pleasant, peppermint-like odour",cooling mentholic minty,alcohol,Oxygenated Aliphatics,1,2665,2665,Peppermint Oil,156.2686,156.26,C10H20O,"C10 H20 O
",216.11,214,37.78,35,,0.89,91.11,93.3,0.0637,0.004266316397,420,"less than 1 mg/mL at 70 °F (NTP, 1992); In water, 420 mg/L at 25 °C; In water, 456 mg/L at 25 °C; Very soluble in alcohol, chloroform, ether, petroleum ether, solvent hexane; freely soluble in glacial acetic acid, liquid petrolatum and in mineral, fixed and volatile oils /dl-Menthol/; 0.42 mg/mL at 25 °C; very soluble in alcohol and volatile oils; slightly soluble in water",456,solid,solid,"D,l-menthol is a white crystalline solid with a peppermint odor and taste. (NTP, 1992); Liquid; Pellets or Large Crystals; Other Solid; Liquid; White solid with a cooling odor; [Hawley] Colorless solid with a peppermint odor; [HSDB] Colorless solid with a sweet odor; [MSDSonline]; colourless, hexagonal crystals, usually needle-like; fused masses or crystalline powder with a pleasant, peppermint-like odour",3180,2652,,,,,,Peppermint taste /dl-Menthol/; Cooling taste /dl-Menthol/,,,Peppermint odor /dl-Menthol/; Cooling odor /89-78-1/,,,
5466-06-8,5466-6-8,,Ethyl-3-Mercaptopropionate,37065,21625,1,CCOC(=O)CCS,CCOC(=O)CCS,,"CCOC(=O)CCS
",,Liquid; [Sigma-Aldrich MSDS]; clear liquid,an aroma compound in munster and camembert cheeses,ester,Sulfur & Nitrogen modified Compounds,,3677,3677,mountain papaya (Vasconcellea pubescens),134.2,134.2,C5H10O2S,C5H10O2S,,76,,,,1.059,,72,,0.059328462,,,6878,liquid ,liquid,Liquid; [Sigma-Aldrich MSDS]; clear liquid,N/A,N/A,N/A,,,,,,,,,,,
20408-52-0,,CBCA,"Cannabichromenic acid, (+)-",16666,3084339,0,,,,CCCCCC1=CC2=C(C=CC(O2)(C)CCC=C(C)C)C(=C1C(=O)O)O,,"Liquid, Other Solid; Liquid; Pale yellowish liquid, strong floral odour suggestive of jasmine","CBCA (Cannabichromenic Acid) is a non-psychoactive, acidic precursor cannabinoid found in raw cannabis, acting as the parent compound for Cannabichromene (CBC).",Cannabinoid,Cannabinoids,1,N/A,,Cannabis Sativa,358.5,358.5,C22H30O4,C22H30O4,,N/A,,140,,1.1032,,2,,N/A,,"Soluble in acetone, carbon tetrachloride; Soluble in 6 volumes of 80% alcohol; Insoluble in water; insoluble in water; miscible (in ethanol)",N/A,liquid ,liquid,"Liquid, Other Solid; Liquid; Pale yellowish liquid, strong floral odour suggestive of jasmine",N/A,N/A,N/A,,,,,,,,Jasmine-like odor,,,
25555-57-1,,CBGA,Cannabigerolic Acid,165675,6449999,0,,,,"CCCCCC1=CC(=C(C(=C1C(=O)O)O)C/C=C(\C)/CCC=C(C)C)O
",,Colorless liquid; lemon-like odor; [CHEMINFO]; Liquid,"CBGA is a non-psychoactive cannabinoid that acts as a precursor to THCA, CBDA, and CBCA. It is primarily used in research and as an analytical reference material. 
",Cannabinoid,Cannabinoids,1,N/A,,Cannabis Sativa,360.5,360.5,C22H32O4,C22H32O4,,180,-74.3,115,,1.082,48,,,N/A,,0.0138 mg/mL at 25 °C,N/A,liquid ,liquid,Colorless liquid; lemon-like odor; [CHEMINFO]; Liquid,N/A,N/A,N/A,,,,,,,,,,,
122-40-7,122-40-7,,Amylcinnamaldehyde,193296,31209,1,CCCCCC(=CC1=CC=CC=C1)C=O,,,CCCCCC(C=O)=Cc1ccccc1,CCCCCC(C=O)=Cc1ccccc1,"Acetaldehyde appears as a clear colorless liquid with a pungent choking odor. Flash point -36 °F. Boiling point 69 °F. Density 6.5 lb / gal. Vapors are heaver than air and irritate the mucous membranes and especially the eyes. Used to make other chemicals.; Liquid; Colorless liquid or gas (above 69 degrees F) with a pungent, fruity odor; [NIOSH]; GAS OR COLOURLESS LIQUID WITH PUNGENT ODOUR.; flammable, colourless liquiduid/pungent ethereal odour; Colorless liquid or gas (above 69 °F) with a pungent, fruity odor.",,,,,2061,2003,,202.29,202.29,C14H18O,C14H18O,21.11,284,-123.5,,,0.9711 g/cu m at 20 °C,-40,,902,,6,"0.1 to 1.0 mg/mL at 66 °F (NTP, 1992); Miscible with water /1X10+6 mg/L at 25 °C/; Miscible with ethanol, ether, benzene; slightly soluble in chloroform; Acetaldehyde is miscible in all proportions with water and most common organic solvents, eg, acetone, benzene, ethyl alcohol, ethyl ether, gasoline, paraldehyde, toluene, xylenes, turpentine, and acetic acid.; 1000.0 mg/mL; Solubility in water: miscible; miscible with water, alcohol, organic solvents; Miscible","Soluble in acetone, carbon tetrachloride; Soluble in 6 volumes of 80% alcohol; Insoluble in water; insoluble in water; miscible (in ethanol)",liquid,gas,"Acetaldehyde appears as a clear colorless liquid with a pungent choking odor. Flash point -36 °F. Boiling point 69 °F. Density 6.5 lb / gal. Vapors are heaver than air and irritate the mucous membranes and especially the eyes. Used to make other chemicals.; Liquid; Colorless liquid or gas (above 69 degrees F) with a pungent, fruity odor; [NIOSH]; GAS OR COLOURLESS LIQUID WITH PUNGENT ODOUR.; flammable, colourless liquiduid/pungent ethereal odour; Colorless liquid or gas (above 69 °F) with a pungent, fruity odor.",,,,,,,,Tart taste (fruits containing acetaldehyde before ripening),,,"Pungent, fruity odor; Pungent, suffocating odor that is somewhat fruity and quite pleasant in dilute concentrations.",Odor Threshold Low: 0.0028 [ppm]; Odor Threshold High: 1000.0 [ppm]; Detection odor threshold from AIHA (mean = 0.067 ppm); Odor threshold = 0.21 ppm; Recognition in air= 2.1x10-1 ppm (chemically pure); Odor low: 0.0002 mg/cu m; Odor high: 4.14 mg/cu m,"Liquid, Other Solid; Liquid; Pale yellowish liquid, strong floral odour suggestive of jasmine",
5989-54-8,5989-54-8,,"Limonene, (-)-",21625,439250,0,CC1=CC[C@H](CC1)C(=C)C,C=C(C)C1CC=C(C)CC1,C=C(C)[C@@H]1CC=C(C)CC1,C=C(C)C1CC=C(C)CC1,C=C(C)[C@@H]1CC=C(C)CC1,"pale yellow, oily liquid with an odour of fresh mustard",,,,,3878,,,136.23,136.23,C10H16,C10H16,,,,-74.3,,,,48,,1.44 [mmHg],,very slightly; very slightly soluble in water; soluble in alcohols and oils,0.0138 mg/mL at 25 °C,liquid,liquid,"pale yellow, oily liquid with an odour of fresh mustard",,,,,,,,,,,,,Colorless liquid; lemon-like odor; [CHEMINFO]; Liquid,
75-07-0,75-07-0,,Acetaldehyde,1268142,177,0,CC=O,CC=O,,CC=O,CC=O,"Butyl mercaptan appears as a clear, colorless liquid with a strong skunk-like odor. Flash point in range -18 to 43 °F. Less dense than water and slightly soluble in water. Vapors heavier than air.; Liquid; Colorless liquid with a strong, garlic-, cabbage-, or skunk-like odor; [NIOSH]; COLOURLESS-TO-YELLOW LIQUID WITH CHARACTERISTIC ODOUR.; colourless to pale yellow liquid with garlic or skunk-like odour; Colorless liquid with a strong, garlic-, cabbage-, or skunk-like odor.",,,,,3478,3478,,44.05,44.05,C2H4O,C2H4O,109.61,21.11,-115.67,-123.5,,"0.78 at 68 °F (USCG, 1999) - Less dense than water; will float",12.78,-40,45.5,"400 mmHg at 40.8 °F ; 760 mmHg at 68.4 °F (NTP, 1992); 902.0 [mmHg]; 902 mm Hg at 25 °C;758 mm Hg at 20 °C; Vapor pressure, kPa at 20 °C: 101; 740 mmHg",595,"0.06 % (NIOSH, 2024); Slightly soluble in chloroform; Very soluble in alcohol, ether, liquid hydrogen sulfide; In water, 595 mg/L at 25 °C; 0.597 mg/mL at 20 °C; Solubility in water, g/100ml: 0.06; 0.6 g in 100 ml water; slightly soluble in oils; 1 ml in 1 ml 95% alcohol (in ethanol); 0.06%","0.1 to 1.0 mg/mL at 66 °F (NTP, 1992); Miscible with water /1X10+6 mg/L at 25 °C/; Miscible with ethanol, ether, benzene; slightly soluble in chloroform; Acetaldehyde is miscible in all proportions with water and most common organic solvents, eg, acetone, benzene, ethyl alcohol, ethyl ether, gasoline, paraldehyde, toluene, xylenes, turpentine, and acetic acid.; 1000.0 mg/mL; Solubility in water: miscible; miscible with water, alcohol, organic solvents; Miscible",gas,gas,"Butyl mercaptan appears as a clear, colorless liquid with a strong skunk-like odor. Flash point in range -18 to 43 °F. Less dense than water and slightly soluble in water. Vapors heavier than air.; Liquid; Colorless liquid with a strong, garlic-, cabbage-, or skunk-like odor; [NIOSH]; COLOURLESS-TO-YELLOW LIQUID WITH CHARACTERISTIC ODOUR.; colourless to pale yellow liquid with garlic or skunk-like odour; Colorless liquid with a strong, garlic-, cabbage-, or skunk-like odor.",,,,,,,,BITTER TASTE AT LOW LEVELS,,,"Strong, obnoxious odor; Heavy skunk odor; Strong, garlic-, cabbage-, or skunk like odor.","Odor Threshold Low: 0.00073 [ppm]; Odor Threshold High: 0.001 [ppm]; Detection odor threshold from AIHA (mean = 0.001 ppm); The odor threshold /for n-butyl mercaptan/ ranges from about 0.001 to 0.0001 ppm, depending on circumstances. The readily noticeable level is about 0.1 to 1 ppm.; Odor perception threshold is reported to be 6.0 ug/L or 0.012 ug/L.","Acetaldehyde appears as a clear colorless liquid with a pungent choking odor. Flash point -36 °F. Boiling point 69 °F. Density 6.5 lb / gal. Vapors are heaver than air and irritate the mucous membranes and especially the eyes. Used to make other chemicals.; Liquid; Colorless liquid or gas (above 69 degrees F) with a pungent, fruity odor; [NIOSH]; GAS OR COLOURLESS LIQUID WITH PUNGENT ODOUR.; flammable, colourless liquiduid/pungent ethereal odour; Colorless liquid or gas (above 69 °F) with a pungent, fruity odor.",
1618-26-4,1618-26-4,,"2,4-Dithiapentane",31209,15380,0,CSCSC,CSCSC,,CSCSC,CSCSC,"Liquid; Pale yellowish oily liquid; powerful, repulsive sulfuraceous odour",,,,,3146,3146,,108.23,108.23,C3H8S2,C3H8S2,,148,11,,,0.959-1.059,,,,,,Slightly soluble in water; soluble in oils; Miscible at room temperature (in ethanol),very slightly; very slightly soluble in water; soluble in alcohols and oils,liquid,liquid,"Liquid; Pale yellowish oily liquid; powerful, repulsive sulfuraceous odour",,,,,,,,,,,,,"pale yellow, oily liquid with an odour of fresh mustard",
109-79-5,109-79-5,,Butanethiol,6654,8012,0,CCCCS,CCCCS,,CCCCS,CCCCS,colourless to slightly yellow liquid with a strong raw potato odour,,,,,3155,3155,,90.19,90.19,C4H10S,C4H10S,,109.61,,-115.67,,0.83679 at 25 °C/4 °C,,12.78,,"35 mmHg (NIOSH, 2024); 45.5 [mmHg]; 45.5 mm Hg at 25 °C; Vapor pressure, kPa at 20 °C: 4.0; 35 mmHg",,"soluble in water, organic solvents; miscible at room temperature (in ethanol)","0.06 % (NIOSH, 2024); Slightly soluble in chloroform; Very soluble in alcohol, ether, liquid hydrogen sulfide; In water, 595 mg/L at 25 °C; 0.597 mg/mL at 20 °C; Solubility in water, g/100ml: 0.06; 0.6 g in 100 ml water; slightly soluble in oils; 1 ml in 1 ml 95% alcohol (in ethanol); 0.06%",gas,liquid,colourless to slightly yellow liquid with a strong raw potato odour,,,,,,,,,,,,,"Butyl mercaptan appears as a clear, colorless liquid with a strong skunk-like odor. Flash point in range -18 to 43 °F. Less dense than water and slightly soluble in water. Vapors heavier than air.; Liquid; Colorless liquid with a strong, garlic-, cabbage-, or skunk-like odor; [NIOSH]; COLOURLESS-TO-YELLOW LIQUID WITH CHARACTERISTIC ODOUR.; colourless to pale yellow liquid with garlic or skunk-like odour; Colorless liquid with a strong, garlic-, cabbage-, or skunk-like odor.",
4437-20-1,4437-20-1,,"2,2'-(Dithiodimethylene)difuran",82227,20499,0,C1=COC(=C1)CSSCC2=CC=CO2,c1coc(CSSCc2ccco2)c1,,c1coc(CSSCc2ccco2)c1,c1coc(CSSCc2ccco2)c1,"colourless to slightly yellow liquid with a green, earthy, celery odour",,,,,3133,3133,,226.3,226.3,C10H10O2S2,C10H10O2S2,,230,,11,,1.229-1.248,,,,,,"soluble in water, oils, organic solvents; miscible at room temperature (in ethanol)",Slightly soluble in water; soluble in oils; Miscible at room temperature (in ethanol),liquid,liquid,"colourless to slightly yellow liquid with a green, earthy, celery odour",,,,,,,,,,,,,"Liquid; Pale yellowish oily liquid; powerful, repulsive sulfuraceous odour",
15707-23-0,15707-23-0,,2-Ethyl-3-Methylpirazine,5281553,27457,0,CCC1=NC=CN=C1C,CCc1nccnc1C,,CCc1nccnc1C,CCc1nccnc1C,Liquid; Colorless solid or liquid with a strong floral odor; [Hawley] Colorless liquid; [MSDSonline]; Solid; colourless to light yellow liquid/fatty odour,,,,,2615,2615,,122.17,122.17,C7H10N2,C7H10N2,,57,44.5,,,0.972-0.993,,,,,,"soluble in alcohol, most fixed oils, propylene glycol (may be turbid); insoluble in glycerol, water; 1 ml in 2 ml of 80% alcohol (in ethanol)","soluble in water, organic solvents; miscible at room temperature (in ethanol)",liquid,liquid,Liquid; Colorless solid or liquid with a strong floral odor; [Hawley] Colorless liquid; [MSDSonline]; Solid; colourless to light yellow liquid/fatty odour,,,,,,,,,,,,,colourless to slightly yellow liquid with a strong raw potato odour,
13925-06-9,13925-06-09,,2-Isobutyl-3-methyl pyrazine,440967,26333,0,CC1=NC=CN=C1CC(C)C,Cc1nccnc1CC(C)C,,Cc1nccnc1CC(C)C,Cc1nccnc1CC(C)C,Colorless liquid; [Alfa Aesar MSDS]; Colourless liquid; Fruity aroma,,,,,3317,3317,,150.22,150.22,C9H14N2,C9H14N2,,201,,,,0.936-0.942,,,,,,very slightly; Slightly soluble in water; Soluble (in ethanol),"soluble in water, oils, organic solvents; miscible at room temperature (in ethanol)",liquid,liquid,Colorless liquid; [Alfa Aesar MSDS]; Colourless liquid; Fruity aroma,,,,,,,,,,,,,"colourless to slightly yellow liquid with a green, earthy, celery odour",
112-54-9,112-54-9,,Dodecanal,10290825,8194,0,CCCCCCCCCCCC=O,CCCCCCCCCCCC=O,,CCCCCCCCCCCC=O,CCCCCCCCCCCC=O,"Colourless liquid; warm, floral and fruity odour",,,,,2861,2861,,184.32,184.32,C12H24O,C12H24O,,185,,44.5,,0.826-0.836,,,,0.01 [mmHg],,very slightly; Insoluble in water; soluble in oils; Miscible at room temperature (in ethanol),"soluble in alcohol, most fixed oils, propylene glycol (may be turbid); insoluble in glycerol, water; 1 ml in 2 ml of 80% alcohol (in ethanol)",liquid,liquid,"Colourless liquid; warm, floral and fruity odour",,,,,,,,,,,,,Liquid; Colorless solid or liquid with a strong floral odor; [Hawley] Colorless liquid; [MSDSonline]; Solid; colourless to light yellow liquid/fatty odour,
3777-69-3,3777-69-3,,2-Pentylfuran,117065074,19602,0,CCCCCC1=CC=CO1,CCCCCc1ccco1,,CCCCCc1ccco1,CCCCCc1ccco1,Liquid; Colourless to slighty yellow liquid; fruity-rosy odour,,,,,2862,2862,,138.21,138.21,C9H14O,C9H14O,,66,,,,0.886-0.893,,,,,,Insoluble in water; soluble in oils; 1 mL in 3 Ml 80% ethanol (in ethanol),very slightly; Slightly soluble in water; Soluble (in ethanol),liquid,liquid,Liquid; Colourless to slighty yellow liquid; fruity-rosy odour,,,,,,,,,,,,,Colorless liquid; [Alfa Aesar MSDS]; Colourless liquid; Fruity aroma,
103-52-6,103-52-6,,Phenethyl butyrate,6708682,7658,0,CCCC(=O)OCCC1=CC=CC=C1,CCCC(=O)OCCc1ccccc1,,CCCC(=O)OCCc1ccccc1,CCCC(=O)OCCc1ccccc1,"Propionaldehyde appears as a clear colorless liquid with an overpowering fruity-like odor. Less dense than water. Flash point 15 °F. Vapors are heavier than air.; Liquid; Liquid with a suffocating odor; [Merck Index] Clear colorless liquid with an overpowering fruity odor; [CAMEO]; COLOURLESS LIQUID WITH PUNGENT ODOUR.; colourless, mobile liquid/sharp, pungent odour; A clear colorless liquid with an overpowering fruity odor.",,,,,2923,2923,,192.25,192.25,C12H16O2,C12H16O2,48.89,238,-81.11,,,0.991-0.994,-9.44,,317,,5,"50 to 100 mg/mL at 64 °F (NTP, 1992); Soluble in water; miscible with ethanol, ethyl ether; SOL IN CHLOROFORM; In water, 3.06X10+5 mg/L at 25 °C; 306 mg/mL at 25 °C; Solubility in water, g/100ml: 20; miscible with alcohol, ether, water",very slightly; Insoluble in water; soluble in oils; Miscible at room temperature (in ethanol),liquid,gas,"Propionaldehyde appears as a clear colorless liquid with an overpowering fruity-like odor. Less dense than water. Flash point 15 °F. Vapors are heavier than air.; Liquid; Liquid with a suffocating odor; [Merck Index] Clear colorless liquid with an overpowering fruity odor; [CAMEO]; COLOURLESS LIQUID WITH PUNGENT ODOUR.; colourless, mobile liquid/sharp, pungent odour; A clear colorless liquid with an overpowering fruity odor.",,,,,,,,,,,"SUFFOCATING, FRUITY; CHARACTERISTIC ODOR SIMILAR TO ACETALDEHYDE; Pungent, unpleasant; Choking odor",1 ppm.,"Colourless liquid; warm, floral and fruity odour",
